,Market_ID,Market_Name,Market_URL,Contract_ID,Contract_Name,bestBuyYesCost,bestBuyNoCost,BestSellYesCost,BestSellNoCost,Time_Stamp,Status
69,4353,What will be the balance of power in Congress after the 2020 election?,https://www.predictit.org/markets/detail/4353/What-will-be-the-balance-of-power-in-Congress-after-the-2020-election,10416,"R House, D Senate",0.02,0.99,0.01,0.98,2020-08-20T12:16:12.3582699,Open
70,4365,Which party will control the House after 2020 election?,https://www.predictit.org/markets/detail/4365/Which-party-will-control-the-House-after-2020-election,10461,Democratic,0.88,0.13,0.87,0.12,2020-08-20T12:16:12.3582699,Open
71,4365,Which party will control the House after 2020 election?,https://www.predictit.org/markets/detail/4365/Which-party-will-control-the-House-after-2020-election,10463,Republican,0.15,0.86,0.14,0.85,2020-08-20T12:16:12.3582699,Open
72,4366,Which party will control the Senate after 2020 election?,https://www.predictit.org/markets/detail/4366/Which-party-will-control-the-Senate-after-2020-election,10462,Democratic,0.58,0.43,0.57,0.42,2020-08-20T12:16:12.3582699,Open
73,4366,Which party will control the Senate after 2020 election?,https://www.predictit.org/markets/detail/4366/Which-party-will-control-the-Senate-after-2020-election,10464,Republican,0.45,0.56,0.44,0.55,2020-08-20T12:16:12.3582699,Open
74,4438,Will Eric Holder run for president in 2020?,https://www.predictit.org/markets/detail/4438/Will-Eric-Holder-run-for-president-in-2020,10775,Will Eric Holder run for president in 2020?,0.02,0.99,0.01,0.98,2020-08-20T12:16:12.3582699,Open
75,4614,Will Hillary Clinton  run for president in 2020?,https://www.predictit.org/markets/detail/4614/Will-Hillary-Clinton-run-for-president-in-2020,11451,Will Hillary Clinton  run for president in 2020?,0.05,0.96,0.04,0.95,2020-08-20T12:16:12.3582699,Open
76,4632,Will Michelle Obama run for president in 2020?,https://www.predictit.org/markets/detail/4632/Will-Michelle-Obama-run-for-president-in-2020,11534,Will Michelle Obama run for president in 2020?,0.04,0.97,0.03,0.96,2020-08-20T12:16:12.3582699,Open
77,4682,Will Michael Avenatti run for president in 2020?,https://www.predictit.org/markets/detail/4682/Will-Michael-Avenatti-run-for-president-in-2020,11712,Will Michael Avenatti run for president in 2020?,0.02,0.99,0.01,0.98,2020-08-20T12:16:12.3582699,Open
78,4683,Will the US economy hit 5.0%+ GDP growth by year-end 2020?,https://www.predictit.org/markets/detail/4683/Will-the-US-economy-hit-50-GDP-growth-by-year-end-2020,11713,Will the US economy hit 5.0%+ GDP growth by year-end 2020?,0.95,0.06,0.94,0.05,2020-08-20T12:16:12.3582699,Open
79,4703,Who will be the next justice to leave the Supreme Court?,https://www.predictit.org/markets/detail/4703/Who-will-be-the-next-justice-to-leave-the-Supreme-Court,11786,Ruth Bader Ginsburg,0.76,0.25,0.75,0.24,2020-08-20T12:16:12.3582699,Open
80,4703,Who will be the next justice to leave the Supreme Court?,https://www.predictit.org/markets/detail/4703/Who-will-be-the-next-justice-to-leave-the-Supreme-Court,11787,Clarence Thomas,0.13,0.89,0.11,0.87,2020-08-20T12:16:12.3582699,Open
81,4703,Who will be the next justice to leave the Supreme Court?,https://www.predictit.org/markets/detail/4703/Who-will-be-the-next-justice-to-leave-the-Supreme-Court,11785,Stephen Breyer,0.08,0.94,0.06,0.92,2020-08-20T12:16:12.3582699,Open
82,4703,Who will be the next justice to leave the Supreme Court?,https://www.predictit.org/markets/detail/4703/Who-will-be-the-next-justice-to-leave-the-Supreme-Court,11784,John Roberts,0.06,0.95,0.05,0.94,2020-08-20T12:16:12.3582699,Open
